episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"Ballers S5E4 - ""Municipal""",You Were Right,RÜFÜS DU SOL,4ADsYu1V5CpFLXNve7iK4Z,0.708,0.793,F,-5.426,FALSE,0.0341,0.0138,2.27E-03,0.118,0.735,122.014,239,4
"Euphoria S1E5 - ""'03 Bonnie and Clyde""",Run the Road,Santigold,3UyVG4yc9wc3rz3Trw1iHd,0.657,0.784,"G♯,A♭",-5.005,FALSE,0.102,0.249,2.04E-04,0.368,0.582,183.969,263,4
"Euphoria S1E1 - ""Pilot""",Brighter Tomorrow,Soul Swingers,2PmC1vcaY2n3mWsJktJv9S,0.68,0.689,F,-6.248,TRUE,0.0388,0.788,8.66E-04,0.274,0.699,127.225,174,4
"Euphoria S1E4 - ""Shook One Pt. II""","I colori di dicembre (From ""Don'",The Bulgarian Symphony Orchestra,3cYNdDqNBEdUaHGZGGtfPy,0.187,0.109,"G♯,A♭",-20.165,FALSE,0.0416,0.595,9.06E-01,0.207,0.0361,116.403,220,4
"The Umbrella Academy S1E3 - ""Extra Ordinary""",We're Through,The Hollies,1U5MA1a9ks3mnJXiFWH47r,0.6,0.837,D,-6.444,FALSE,0.057,0.376,0.00E+00,0.144,0.908,93.195,136,4
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Picture Book (Stereo Mix),The Kinks,0p85tj9Uvo1CuHSfmAy4X3,0.83,0.954,C,-6.835,TRUE,0.0308,0.167,2.04E-04,0.253,0.97,121.195,157,4
"Euphoria S1E6 - ""The Next Episode""",Hot,The Last Artful & Dodgr,022vlOJzVAHTCMSbyEMEVt,0.746,0.402,"C♯,D♭",-6.666,TRUE,0.0329,0.13,1.96E-04,0.125,0.245,108.62,190,3
"Grey's Anatomy S15E11 - ""The Winner Takes It All""",Hold On,The Rescues,3TtCkRuu4MhZU9f6Bgyjqt,0.295,0.414,"D♯,E♭",-11.063,FALSE,0.0402,0.427,2.50E-04,0.0909,0.122,122.186,205,4
"Sex Education S1E3 - ""Episode 3""",This Is the Day,The The,5O7RVmqK3AYoFfyeafxOqH,0.56,0.875,"A♯,B♭",-4.483,TRUE,0.0518,0.0131,6.93E-04,0.063,0.538,141.661,297,4
"Euphoria S1E4 - ""Shook One Pt. II""",New Generation,The Universals,35dBml5K6yTShOa3h3lugq,0.692,0.696,G,-10.526,FALSE,0.139,0.149,6.14E-02,0.212,0.95,90.43,145,4
"Marvel's The Punisher S2E8 - ""My Brother's Keeper""",The Woods,The White Buffalo,1wVNX70jcDdQGedgZm0zRd,0.371,0.238,E,-11.746,FALSE,0.0297,0.702,7.84E-02,0.221,0.132,138.096,236,3
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Istanbul (Not Constantinople),They Might Be Giants,63vL5oxWrlvaJ0ayNaQnbX,0.688,0.748,F,-9.39,FALSE,0.0377,0.0801,4.53E-03,0.136,0.892,114.144,154,4
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",I Think We're Alone Now,Tiffany,1ZZjpzN6rrNDtXjgJJF7mt,0.741,0.788,G,-8.149,TRUE,0.0617,0.0144,9.45E-03,0.0227,0.936,130.069,227,4
"The Umbrella Academy S1E4 - ""Man on the Moon""",Shingaling,Tom Swoon,7CbZtCJJmr54zVEg9bOOdJ,0.665,0.763,"D♯,E♭",-5.868,TRUE,0.0319,0.00465,2.15E-03,0.246,0.38,125.054,154,4
"The Umbrella Academy S1E6 - ""The Day That Wasn't""",Dancing In the Moonlight (2001 R,Toploader,3Fzlg5r1IjhLk2qRw667od,0.632,0.858,"A♯,B♭",-3.463,TRUE,0.035,0.0624,0.00E+00,0.347,0.872,119.397,233,4
"The Blacklist S6E2 - ""The Corsican""",Hard Times (feat. Congratulation,Vision Vision,5EO7tawMP5g2wjxdYfVBvJ,0.643,0.545,"F♯,G♭",-7.413,FALSE,0.0358,0.107,0.00E+00,0.179,0.222,93.012,185,4
"The Umbrella Academy S1E2 - ""Run Boy Run""",Run Boy Run,Woodkid,0boS4e6uXwp3zAvz1mLxZS,0.506,0.959,F,-5.264,FALSE,0.102,0.084,6.55E-04,0.135,0.34,133.996,213,4
"Orange is the New Black S7E10 - ""The Thirteenth""",Welcome to Love,Young Ejecta,3tb9cwLuiNLxwxMWm8Qs3h,0.676,0.362,F,-8.249,TRUE,0.0664,0.13,7.72E-02,0.133,0.475,180.034,262,4
"Another Life S1E4 - ""Guilt Trip""",Wiseblood (Johnny Jewel Remix),"Zola Jesus, Johnny Jewel",0jBkInmdxnmDJR8apuQDFc,0.239,0.376,"A♯,B♭",-8.16,TRUE,0.0305,0.815,4.37E-05,0.0821,0.0953,112.95,275,4
